version,2.1.0
info,balls_per_over,6
info,team,West Indies
info,team,South Africa
info,gender,male
info,season,2007/08
info,date,2007/12/26
info,date,2007/12/27
info,date,2007/12/28
info,date,2007/12/29
info,event,West Indies tour of Zimbabwe and South Africa
info,match_number,1
info,venue,St George's Park
info,city,Port Elizabeth
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,MN Samuels
info,umpire,RB Tiffin
info,umpire,Aleem Dar
info,reserve_umpire,BG Jerling
info,tv_umpire,RE Koertzen
info,match_referee,RS Mahanama
info,winner,West Indies
info,winner_runs,128
info,player,West Indies,CH Gayle
info,player,West Indies,D Ganga
info,player,West Indies,RS Morton
info,player,West Indies,MN Samuels
info,player,West Indies,S Chanderpaul
info,player,West Indies,DJ Bravo
info,player,West Indies,D Ramdin
info,player,West Indies,DJG Sammy
info,player,West Indies,JE Taylor
info,player,West Indies,DBL Powell
info,player,West Indies,FH Edwards
info,player,South Africa,HH Gibbs
info,player,South Africa,GC Smith
info,player,South Africa,HM Amla
info,player,South Africa,JH Kallis
info,player,South Africa,AG Prince
info,player,South Africa,AB de Villiers
info,player,South Africa,MV Boucher
info,player,South Africa,PL Harris
info,player,South Africa,A Nel
info,player,South Africa,DW Steyn
info,player,South Africa,M Ntini
info,registry,people,A Nel,2503e881
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AG Prince,035cb925
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BG Jerling,26457e41
info,registry,people,CH Gayle,db584dad
info,registry,people,D Ganga,d5f3b5e1
info,registry,people,D Ramdin,d1523761
info,registry,people,DBL Powell,83904270
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DJG Sammy,c03c6200
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,FH Edwards,a7c226e1
info,registry,people,GC Smith,72861603
info,registry,people,HH Gibbs,e1d1b294
info,registry,people,HM Amla,e798611a
info,registry,people,JE Taylor,4180d897
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,M Ntini,20a941bb
info,registry,people,MN Samuels,f846de6a
info,registry,people,MV Boucher,f3cb53a1
info,registry,people,PL Harris,fd093ca9
info,registry,people,RB Tiffin,89087a0d
info,registry,people,RE Koertzen,0265fab2
info,registry,people,RS Mahanama,57910393
info,registry,people,RS Morton,2f8a9682
info,registry,people,S Chanderpaul,881a9bdd
