version,2.1.0
info,balls_per_over,6
info,team,England
info,team,India
info,gender,male
info,season,2014
info,date,2014/08/07
info,date,2014/08/08
info,date,2014/08/09
info,event,Pataudi Trophy
info,match_number,4
info,venue,Old Trafford
info,city,Manchester
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,SCJ Broad
info,umpire,M Erasmus
info,umpire,RJ Tucker
info,reserve_umpire,MA Gough
info,tv_umpire,RA Kettleborough
info,match_referee,RS Madugalle
info,winner,England
info,winner_innings,1
info,winner_runs,54
info,player,England,AN Cook
info,player,England,SD Robson
info,player,England,GS Ballance
info,player,England,IR Bell
info,player,England,CJ Jordan
info,player,England,JE Root
info,player,England,MM Ali
info,player,England,JC Buttler
info,player,England,CR Woakes
info,player,England,SCJ Broad
info,player,England,JM Anderson
info,player,India,M Vijay
info,player,India,G Gambhir
info,player,India,CA Pujara
info,player,India,V Kohli
info,player,India,AM Rahane
info,player,India,MS Dhoni
info,player,India,RA Jadeja
info,player,India,R Ashwin
info,player,India,B Kumar
info,player,India,VR Aaron
info,player,India,Pankaj Singh
info,registry,people,AM Rahane,29e95537
info,registry,people,AN Cook,f41598c1
info,registry,people,B Kumar,2e81a32d
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CR Woakes,4c5d73db
info,registry,people,G Gambhir,bb345e0b
info,registry,people,GS Ballance,755a77c6
info,registry,people,IR Bell,33155d1b
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JM Anderson,d12143bf
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Vijay,4b57e452
info,registry,people,MA Gough,76752ac8
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Pankaj Singh,e32d22f6
info,registry,people,R Ashwin,495d42a5
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RS Madugalle,766b5798
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SD Robson,76cb1a7f
info,registry,people,V Kohli,ba607b88
info,registry,people,VR Aaron,0a3d54b9
