version,2.1.0
info,balls_per_over,6
info,team,England
info,team,Australia
info,gender,male
info,season,2009
info,date,2009/07/08
info,date,2009/07/09
info,date,2009/07/10
info,date,2009/07/11
info,date,2009/07/12
info,event,The Ashes
info,match_number,1
info,venue,Sophia Gardens
info,city,Cardiff
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,RT Ponting
info,umpire,Aleem Dar
info,umpire,BR Doctrove
info,reserve_umpire,RK Illingworth
info,tv_umpire,RA Kettleborough
info,match_referee,JJ Crowe
info,outcome,draw
info,player,Australia,PJ Hughes
info,player,Australia,SM Katich
info,player,Australia,RT Ponting
info,player,Australia,MEK Hussey
info,player,Australia,MJ Clarke
info,player,Australia,MJ North
info,player,Australia,BJ Haddin
info,player,Australia,MG Johnson
info,player,Australia,NM Hauritz
info,player,Australia,BW Hilfenhaus
info,player,Australia,PM Siddle
info,player,England,AJ Strauss
info,player,England,AN Cook
info,player,England,RS Bopara
info,player,England,KP Pietersen
info,player,England,PD Collingwood
info,player,England,MJ Prior
info,player,England,A Flintoff
info,player,England,JM Anderson
info,player,England,SCJ Broad
info,player,England,GP Swann
info,player,England,MS Panesar
info,registry,people,A Flintoff,ddc0828d
info,registry,people,AJ Strauss,b68d14a9
info,registry,people,AN Cook,f41598c1
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BJ Haddin,b0c772ee
info,registry,people,BR Doctrove,cbebf805
info,registry,people,BW Hilfenhaus,f3171936
info,registry,people,GP Swann,221ad9d9
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Anderson,d12143bf
info,registry,people,KP Pietersen,39f01cdb
info,registry,people,MEK Hussey,48fd7349
info,registry,people,MG Johnson,f5180fe6
info,registry,people,MJ Clarke,f842c2cf
info,registry,people,MJ North,99464591
info,registry,people,MJ Prior,1200550f
info,registry,people,MS Panesar,5a37ec26
info,registry,people,NM Hauritz,8ea6e670
info,registry,people,PD Collingwood,a386e91b
info,registry,people,PJ Hughes,004c9e85
info,registry,people,PM Siddle,bd93fea4
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RK Illingworth,20672246
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,RT Ponting,7d415ea5
info,registry,people,SCJ Broad,eba6a852
info,registry,people,SM Katich,fdedb37c
