version,2.1.0
info,balls_per_over,6
info,team,South Africa
info,team,Sri Lanka
info,gender,male
info,season,2016/17
info,date,2017/01/12
info,date,2017/01/13
info,date,2017/01/14
info,event,Sri Lanka in South Africa Test Series
info,match_number,3
info,venue,New Wanderers Stadium
info,city,Johannesburg
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,JP Duminy
info,umpire,BNJ Oxenford
info,umpire,RJ Tucker
info,reserve_umpire,AT Holdstock
info,tv_umpire,Aleem Dar
info,match_referee,DC Boon
info,winner,South Africa
info,winner_innings,1
info,winner_runs,118
info,player,South Africa,SC Cook
info,player,South Africa,D Elgar
info,player,South Africa,HM Amla
info,player,South Africa,JP Duminy
info,player,South Africa,D Olivier
info,player,South Africa,F du Plessis
info,player,South Africa,T Bavuma
info,player,South Africa,Q de Kock
info,player,South Africa,VD Philander
info,player,South Africa,WD Parnell
info,player,South Africa,K Rabada
info,player,Sri Lanka,FDM Karunaratne
info,player,Sri Lanka,JK Silva
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,DM de Silva
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,WU Tharanga
info,player,Sri Lanka,HMRKB Herath
info,player,Sri Lanka,RAS Lakmal
info,player,Sri Lanka,CBRLS Kumara
info,player,Sri Lanka,N Pradeep
info,registry,people,AD Mathews,896d78ad
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,BNJ Oxenford,c1add349
info,registry,people,CBRLS Kumara,4751caa3
info,registry,people,D Elgar,33085ffb
info,registry,people,D Olivier,a8e56914
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DM de Silva,7d608e12
info,registry,people,F du Plessis,3355b542
info,registry,people,FDM Karunaratne,400e2d4d
info,registry,people,HM Amla,e798611a
info,registry,people,HMRKB Herath,d2fcce2f
info,registry,people,JK Silva,52f7299a
info,registry,people,JP Duminy,2e8994e7
info,registry,people,K Rabada,e62dd25d
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,N Pradeep,2af838ee
info,registry,people,Q de Kock,372455c4
info,registry,people,RAS Lakmal,2f28dc94
info,registry,people,RJ Tucker,38810cfc
info,registry,people,SC Cook,13bee186
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,VD Philander,cfe70281
info,registry,people,WD Parnell,3a60e0b5
info,registry,people,WU Tharanga,7ed9fd56
