version,2.1.0
info,balls_per_over,6
info,team,India
info,team,South Africa
info,gender,male
info,season,2015/16
info,date,2015/11/05
info,date,2015/11/06
info,date,2015/11/07
info,event,Freedom Trophy
info,match_number,1
info,venue,"Punjab Cricket Association Stadium, Mohali"
info,city,Chandigarh
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,RA Jadeja
info,umpire,HDPK Dharmasena
info,umpire,RA Kettleborough
info,reserve_umpire,AK Chaudhary
info,tv_umpire,VA Kulkarni
info,match_referee,JJ Crowe
info,winner,India
info,winner_runs,108
info,player,India,M Vijay
info,player,India,S Dhawan
info,player,India,CA Pujara
info,player,India,V Kohli
info,player,India,AM Rahane
info,player,India,WP Saha
info,player,India,RA Jadeja
info,player,India,A Mishra
info,player,India,R Ashwin
info,player,India,UT Yadav
info,player,India,VR Aaron
info,player,South Africa,D Elgar
info,player,South Africa,S van Zyl
info,player,South Africa,F du Plessis
info,player,South Africa,HM Amla
info,player,South Africa,AB de Villiers
info,player,South Africa,DJ Vilas
info,player,South Africa,VD Philander
info,player,South Africa,SR Harmer
info,player,South Africa,DW Steyn
info,player,South Africa,K Rabada
info,player,South Africa,Imran Tahir
info,registry,people,A Mishra,6b19d823
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AM Rahane,29e95537
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,D Elgar,33085ffb
info,registry,people,DJ Vilas,087210b1
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,F du Plessis,3355b542
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,HM Amla,e798611a
info,registry,people,Imran Tahir,acee4cc4
info,registry,people,JJ Crowe,2e760301
info,registry,people,K Rabada,e62dd25d
info,registry,people,M Vijay,4b57e452
info,registry,people,R Ashwin,495d42a5
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RA Kettleborough,4017868f
info,registry,people,S Dhawan,0a476045
info,registry,people,S van Zyl,f4dfcbb4
info,registry,people,SR Harmer,23638956
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,UT Yadav,cc1e8c68
info,registry,people,V Kohli,ba607b88
info,registry,people,VA Kulkarni,8fe0c4f8
info,registry,people,VD Philander,cfe70281
info,registry,people,VR Aaron,0a3d54b9
info,registry,people,WP Saha,fe11caa6
