version,2.1.0
info,balls_per_over,6
info,team,South Africa
info,team,India
info,gender,male
info,season,2013/14
info,date,2013/12/26
info,date,2013/12/27
info,date,2013/12/28
info,date,2013/12/29
info,date,2013/12/30
info,event,India in South Africa Test Series
info,match_number,2
info,venue,Kingsmead
info,city,Durban
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,DW Steyn
info,umpire,SJ Davis
info,umpire,RJ Tucker
info,reserve_umpire,S George
info,tv_umpire,AT Holdstock
info,match_referee,AJ Pycroft
info,winner,South Africa
info,winner_wickets,10
info,player,India,S Dhawan
info,player,India,M Vijay
info,player,India,CA Pujara
info,player,India,V Kohli
info,player,India,RG Sharma
info,player,India,AM Rahane
info,player,India,MS Dhoni
info,player,India,RA Jadeja
info,player,India,Z Khan
info,player,India,I Sharma
info,player,India,Mohammed Shami
info,player,South Africa,GC Smith
info,player,South Africa,AN Petersen
info,player,South Africa,HM Amla
info,player,South Africa,JH Kallis
info,player,South Africa,AB de Villiers
info,player,South Africa,JP Duminy
info,player,South Africa,DW Steyn
info,player,South Africa,F du Plessis
info,player,South Africa,RJ Peterson
info,player,South Africa,VD Philander
info,player,South Africa,M Morkel
info,registry,people,AB de Villiers,c4487b84
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AM Rahane,29e95537
info,registry,people,AN Petersen,e01aafc1
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,CA Pujara,d4f9dbd4
info,registry,people,DW Steyn,8fd1a8f5
info,registry,people,F du Plessis,3355b542
info,registry,people,GC Smith,72861603
info,registry,people,HM Amla,e798611a
info,registry,people,I Sharma,5bb1a1c4
info,registry,people,JH Kallis,86dc8f2e
info,registry,people,JP Duminy,2e8994e7
info,registry,people,M Morkel,5bb5a915
info,registry,people,M Vijay,4b57e452
info,registry,people,MS Dhoni,4a8a2e3b
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Peterson,26ff4c29
info,registry,people,RJ Tucker,38810cfc
info,registry,people,S Dhawan,0a476045
info,registry,people,S George,6d9e5a54
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,V Kohli,ba607b88
info,registry,people,VD Philander,cfe70281
info,registry,people,Z Khan,91a4a398
